img,mask,video_src,video_clip,rep
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01734.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01734.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01735.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01735.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01688.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01688.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01736.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01736.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01737.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01737.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01738.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01738.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01690.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01690.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01691.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01691.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01692.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01692.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01693.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01693.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01704.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01704.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01705.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01705.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01706.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01706.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01707.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01707.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01694.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01694.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01739.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01739.png,,Partial Nephrectomy video,-
/groups/dchen/mxs/processed_data/CNI/images/Partial Nephrectomy video/01740.jpg,/groups/dchen/mxs/PE_dgem_task/masks/all_NE_ordering/01740.png,,Partial Nephrectomy video,-
